09:56:44.402 [DEBUG] [importResolver  ] ts.resolveModuleName 성공  {"importPath":"@/components/ui/PortfolioModal","from":"src\\app\\page.tsx","resolved":"src\\components\\ui\\PortfolioModal.tsx"}
09:56:44.402 [DEBUG] [unusedFiles     ] import resolve 성공  {"specifier":"@/components/ui/PortfolioModal","from":"src\\app\\page.tsx","resolved":"src\\components\\ui\\PortfolioModal.tsx","hasNamespace":false,"hasDefault":true,"isSideEffect":false,"names":["ModalType"]}
09:56:44.402 [DEBUG] [unusedFiles     ] 큐에 추가  {"file":"src\\components\\ui\\PortfolioModal.tsx"}
09:56:44.402 [DEBUG] [importResolver  ] ts.resolveModuleName 성공  {"importPath":"@/components/ui/NavigationGuide","from":"src\\app\\page.tsx","resolved":"src\\components\\ui\\NavigationGuide.tsx"}
09:56:44.402 [DEBUG] [unusedFiles     ] import resolve 성공  {"specifier":"@/components/ui/NavigationGuide","from":"src\\app\\page.tsx","resolved":"src\\components\\ui\\NavigationGuide.tsx","hasNamespace":false,"hasDefault":true,"isSideEffect":false,"names":[]}
09:56:44.402 [DEBUG] [unusedFiles     ] 큐에 추가  {"file":"src\\components\\ui\\NavigationGuide.tsx"}
09:56:44.402 [DEBUG] [importResolver  ] ts.resolveModuleName 성공  {"importPath":"@/components/canvas/SceneContainer","from":"src\\app\\page.tsx","resolved":"src\\components\\canvas\\SceneContainer.tsx"}
09:56:44.402 [DEBUG] [unusedFiles     ] import resolve 성공  {"specifier":"@/components/canvas/SceneContainer","from":"src\\app\\page.tsx","resolved":"src\\components\\canvas\\SceneContainer.tsx","hasNamespace":true,"hasDefault":false,"isSideEffect":false,"names":[]}
09:56:44.402 [DEBUG] [unusedFiles     ] 큐에 추가  {"file":"src\\components\\canvas\\SceneContainer.tsx"}
09:56:44.402 [DEBUG] [unusedFiles     ] BFS 방문  {"step":4,"file":"eslint.config.mjs","queueRemaining":18}
09:56:44.415 [DEBUG] [importResolver  ] ESM static import 발견  {"file":"eslint.config.mjs","specifier":"eslint/config","names":["defineConfig","globalIgnores"],"hasNamespace":false,"hasDefault":false}
09:56:44.415 [DEBUG] [importResolver  ] ESM static import 발견  {"file":"eslint.config.mjs","specifier":"eslint-config-next/core-web-vitals","names":[],"hasNamespace":false,"hasDefault":true}
09:56:44.415 [DEBUG] [importResolver  ] ESM static import 발견  {"file":"eslint.config.mjs","specifier":"eslint-config-next/typescript","names":[],"hasNamespace":false,"hasDefault":true}
09:56:44.416 [DEBUG] [importResolver  ] import 추출 완료  {"file":"eslint.config.mjs","total":3}
09:56:44.416 [DEBUG] [unusedFiles     ] import 추출 완료  {"file":"eslint.config.mjs","importCount":3}
09:56:44.484 [DEBUG] [importResolver  ] node_modules resolve - 스킵  {"importPath":"eslint/config"}
