09:56:44.036 [INFO ] [unusedFiles     ] 분석 시작  {"projectRoot":"D:\\myRoom"}
09:56:45.058 [DEBUG] [unusedFiles     ] 외부 패키지 import (resolve 스킵)  {"specifier":"@react-three/drei","from":"src\\components\\snowBackground\\SnowBackground.tsx"}
09:56:45.060 [DEBUG] [unusedFiles     ] 외부 패키지 import (resolve 스킵)  {"specifier":"three","from":"src\\components\\snowBackground\\SnowBackground.tsx"}
09:56:45.070 [DEBUG] [unusedFiles     ] import resolve 성공  {"specifier":"./Snow","from":"src\\components\\snowBackground\\SnowBackground.tsx","resolved":"src\\components\\snowBackground\\Snow.tsx","hasNamespace":false,"hasDefault":true,"isSideEffect":false,"names":[]}
09:56:45.070 [DEBUG] [unusedFiles     ] 큐에 추가  {"file":"src\\components\\snowBackground\\Snow.tsx"}
09:56:45.071 [DEBUG] [unusedFiles     ] import resolve 성공  {"specifier":"./Bonfire","from":"src\\components\\snowBackground\\SnowBackground.tsx","resolved":"src\\components\\snowBackground\\Bonfire.tsx","hasNamespace":false,"hasDefault":true,"isSideEffect":false,"names":[]}
09:56:45.071 [DEBUG] [unusedFiles     ] 큐에 추가  {"file":"src\\components\\snowBackground\\Bonfire.tsx"}
09:56:45.071 [DEBUG] [unusedFiles     ] import resolve 성공  {"specifier":"./Woodpile","from":"src\\components\\snowBackground\\SnowBackground.tsx","resolved":"src\\components\\snowBackground\\Woodpile.tsx","hasNamespace":false,"hasDefault":true,"isSideEffect":false,"names":[]}
09:56:45.071 [DEBUG] [unusedFiles     ] 큐에 추가  {"file":"src\\components\\snowBackground\\Woodpile.tsx"}
09:56:45.072 [DEBUG] [unusedFiles     ] import resolve 성공  {"specifier":"./Snowman","from":"src\\components\\snowBackground\\SnowBackground.tsx","resolved":"src\\components\\snowBackground\\Snowman.tsx","hasNamespace":false,"hasDefault":true,"isSideEffect":false,"names":[]}
09:56:45.072 [DEBUG] [unusedFiles     ] 큐에 추가  {"file":"src\\components\\snowBackground\\Snowman.tsx"}
09:56:45.072 [DEBUG] [unusedFiles     ] import resolve 성공  {"specifier":"./FrozenPond","from":"src\\components\\snowBackground\\SnowBackground.tsx","resolved":"src\\components\\snowBackground\\FrozenPond.tsx","hasNamespace":false,"hasDefault":true,"isSideEffect":false,"names":[]}
09:56:45.072 [DEBUG] [unusedFiles     ] 큐에 추가  {"file":"src\\components\\snowBackground\\FrozenPond.tsx"}
09:56:45.075 [DEBUG] [unusedFiles     ] import resolve 성공  {"specifier":"./Pedestal","from":"src\\components\\snowBackground\\SnowBackground.tsx","resolved":"src\\components\\snowBackground\\Pedestal.tsx","hasNamespace":false,"hasDefault":true,"isSideEffect":false,"names":[]}
09:56:45.075 [DEBUG] [unusedFiles     ] 큐에 추가  {"file":"src\\components\\snowBackground\\Pedestal.tsx"}
